,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
242,Frio,20,12832,12762,10837,12503,12507,70,1995,329,325,0,0,0,0,0
243,Frio,5_19,4005,3125,2654,3066,3067,880,1351,939,938,0,0,0,0,0
244,Gaines,0_4,2341,1988,1636,2281,2283,353,705,60,58,0,1,1,1,1
245,Gaines,20,13682,11616,9564,13331,13334,2066,4118,351,348,0,0,0,0,0
246,Gaines,5_19,6500,4536,3735,5201,5206,1964,2765,1299,1294,0,0,0,0,0
247,Galveston,0_4,20512,19958,16881,19986,20008,554,3631,526,504,0,11,9,11,11
248,Galveston,20,268226,260979,220746,261346,261397,7247,47480,6880,6829,0,0,0,0,0
249,Galveston,5_19,73006,57432,48583,57530,57569,15574,24423,15476,15437,0,0,0,0,0
250,Garza,0_4,219,214,181,213,214,5,38,6,5,0,0,0,0,0
251,Garza,20,3487,3410,2887,3398,3398,77,600,89,89,0,0,0,0,0
252,Garza,5_19,811,634,537,632,632,177,274,179,179,0,0,0,0,0
253,Gillespie,0_4,1303,1239,1044,1270,1271,64,259,33,32,0,1,1,1,1
254,Gillespie,20,21865,20795,17515,21304,21308,1070,4350,561,557,0,0,0,0,0
255,Gillespie,5_19,4565,3519,2965,3607,3609,1046,1600,958,956,0,0,0,0,0
256,Glasscock,0_4,82,79,66,80,80,3,16,2,2,0,0,0,0,0
257,Glasscock,20,827,794,670,806,806,33,157,21,21,0,0,0,0,0
258,Glasscock,5_19,232,181,153,183,184,51,79,49,48,0,0,0,0,0
259,Goliad,0_4,327,319,270,319,319,8,57,8,8,0,0,0,0,0
260,Goliad,20,5607,5467,4626,5463,5464,140,981,144,143,0,0,0,0,0
261,Goliad,5_19,1210,964,816,963,964,246,394,247,246,0,0,0,0,0
262,Gonzales,0_4,1434,1415,1200,1397,1399,19,234,37,35,0,1,1,1,1
263,Gonzales,20,14128,13939,11820,13766,13769,189,2308,362,359,0,0,0,0,0
264,Gonzales,5_19,4368,3461,2935,3419,3421,907,1433,949,947,0,0,0,0,0
265,Gray,0_4,1247,1218,1031,1215,1216,29,216,32,31,0,1,1,1,1
266,Gray,20,15135,14778,12508,14747,14750,357,2627,388,385,0,0,0,0,0
267,Gray,5_19,4534,3611,3057,3601,3604,923,1477,933,930,0,0,0,0,0
268,Grayson,0_4,9186,8886,7508,8950,8960,300,1678,236,226,0,5,4,5,5
269,Grayson,20,107923,104398,88209,105155,105176,3525,19714,2768,2747,0,0,0,0,0
270,Grayson,5_19,29798,23328,19712,23497,23515,6470,10086,6301,6283,0,0,0,0,0
271,Gregg,0_4,8459,8257,6988,8242,8251,202,1471,217,208,0,5,4,5,5
272,Gregg,20,90168,88012,74487,87855,87876,2156,15681,2313,2292,0,0,0,0,0
273,Gregg,5_19,27616,21582,18267,21545,21560,6034,9349,6071,6056,0,0,0,0,0
274,Grimes,0_4,2000,1948,1648,1949,1951,52,352,51,49,0,1,1,1,1
275,Grimes,20,24295,23663,20019,23672,23677,632,4276,623,618,0,0,0,0,0
276,Grimes,5_19,6089,4833,4089,4835,4839,1256,2000,1254,1250,0,0,0,0,0
277,Guadalupe,0_4,10511,10301,8724,10241,10253,210,1787,270,258,0,5,5,5,5
278,Guadalupe,20,138950,136171,115329,135386,135412,2779,23621,3564,3538,0,0,0,0,0
279,Guadalupe,5_19,38993,30798,26086,30637,30658,8195,12907,8356,8335,0,0,0,0,0
280,Hale,0_4,2029,2009,1705,1977,1979,20,324,52,50,0,1,1,1,1
281,Hale,20,22478,22260,18888,21901,21907,218,3590,577,571,0,0,0,0,0
282,Hale,5_19,7254,5652,4796,5567,5569,1602,2458,1687,1685,0,0,0,0,0
283,Hall,0_4,141,134,112,137,138,7,29,4,3,0,0,0,0,0
284,Hall,20,2141,2028,1707,2086,2087,113,434,55,54,0,0,0,0,0
285,Hall,5_19,536,398,335,407,407,138,201,129,129,0,0,0,0,0
286,Hamilton,0_4,431,422,357,420,420,9,74,11,11,0,0,0,0,0
287,Hamilton,20,6592,6455,5466,6423,6424,137,1126,169,168,0,0,0,0,0
288,Hamilton,5_19,1596,1302,1103,1296,1297,294,493,300,299,0,0,0,0,0
289,Hansford,0_4,357,350,296,348,348,7,61,9,9,0,0,0,0,0
290,Hansford,20,3440,3373,2857,3352,3353,67,583,88,87,0,0,0,0,0
291,Hansford,5_19,1274,988,837,983,983,286,437,291,291,0,0,0,0,0
292,Hardeman,0_4,213,210,178,208,208,3,35,5,5,0,0,0,0,0
293,Hardeman,20,2614,2571,2179,2547,2547,43,435,67,67,0,0,0,0,0
294,Hardeman,5_19,663,510,432,507,507,153,231,156,156,0,0,0,0,0
295,Hardin,0_4,3600,3475,2935,3508,3512,125,665,92,88,0,2,1,2,2
296,Hardin,20,42463,40988,34619,41374,41382,1475,7844,1089,1081,0,0,0,0,0
297,Hardin,5_19,12198,9777,8259,9867,9874,2421,3939,2331,2324,0,0,0,0,0
298,Harris,0_4,323835,317779,269204,315529,315880,6056,54631,8306,7955,0,168,141,167,168
299,Harris,20,3468544,3403682,2883401,3379578,3380337,64862,585143,88966,88207,0,0,0,0,0
300,Harris,5_19,1042746,828031,701498,822245,822891,214715,341248,220501,219855,0,0,0,0,0
301,Harrison,0_4,4110,4021,3404,4005,4009,89,706,105,101,0,2,2,2,2
302,Harrison,20,51666,50546,42796,50341,50352,1120,8870,1325,1314,0,0,0,0,0
303,Harrison,5_19,15119,11606,9828,11558,11565,3513,5291,3561,3554,0,0,0,0,0
304,Hartley,0_4,330,316,267,322,322,14,63,8,8,0,0,0,0,0
305,Hartley,20,3904,3742,3156,3804,3805,162,748,100,99,0,0,0,0,0
306,Hartley,5_19,911,714,603,725,726,197,308,186,185,0,0,0,0,0
307,Haskell,0_4,249,242,205,243,243,7,44,6,6,0,0,0,0,0
308,Haskell,20,4300,4181,3536,4190,4191,119,764,110,109,0,0,0,0,0
309,Haskell,5_19,836,651,551,652,652,185,285,184,184,0,0,0,0,0
310,Hays,0_4,16031,15488,13084,15620,15637,543,2947,411,394,0,8,7,8,8
311,Hays,20,208132,201088,169869,202794,202851,7044,38263,5338,5281,0,0,0,0,0
312,Hays,5_19,56323,40937,34582,41292,41325,15386,21741,15031,14998,0,0,0,0,0
